person_id,full_name,name_variants,korean_name_hangul,korean_name_hanja,indian_local_name_variants,birth_year,birth_date_precision,death_year,death_date_precision,nationality_region,period,profession_role,religious_affiliation,institution_org,india_connection,korea_connection,relationship_type,physically_traveled,travel_summary,direction_of_influence,exchange_types,evidence_of_influence,historical_significance,confidence,notes,data_entry_date,status,source_ids
P-0057,Pankaj Mohan,पंकज मोहन,,,पंकज मोहन,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,"Professor of Korean Studies, Academy of Korean Studies (한국학중앙연구원, AKS)",NULL,"Academy of Korean Studies (Seongnam, Korea); formerly Tezpur University (India)",Indian scholar of Korea; delivered India-Korea relations lecture at Tezpur University,Long-term professor at AKS teaching Korean studies in Korea; scholarly works on India-Korea cultural relations,DIRECT,YES,"Indian academic resident in Korea (AKS, Seongnam) for his career; earlier India-based at Tezpur",BIDIRECTIONAL,ACADEMIC;INTELLECTUAL,AKS professorship; Tezpur University lecture document; CEFIA Korea wiki entry,One of India's senior Korean-studies scholars based in Korea,HIGH,NULL,2026-08-16,VERIFIED,S-0002;S-0155
P-0058,Neerja Samajdar,Neerja Singh (JNU profile URL),,,,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,"Associate Professor, Korean Language, Centre for Korean Studies (CKS), JNU",NULL,"Jawaharlal Nehru University (JNU), New Delhi",Indian professor teaching Korean language at JNU,PhD in Korean Language Education from Seoul National University - first Indian to obtain it; Korean Government Scholarship recipient (2002),DIRECT,YES,"Studied in Seoul (SNU PhD, Korean Govt. Scholarship 2002)",KOREA_TO_INDIA,ACADEMIC;LINGUISTIC,JNU CKS faculty profile documenting SNU PhD,Pioneer of Korean-language pedagogy in India,HIGH,NULL,2026-08-16,VERIFIED,S-0083
P-0059,Kaushal Kumar,,,,,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,"Associate Professor, Centre for Korean Studies, JNU",NULL,"JNU, New Delhi",Indian scholar of Korean studies at JNU,Korea Foundation fellow; AKS (한국학중앙연구원) predoctoral fellow; co-editor of 'Emerging Trends in Korean Studies in India' (2019; 2nd ed. 2024),DIRECT,YES,Korea Foundation and AKS fellowships brought him to Korea,KOREA_TO_INDIA,ACADEMIC,Fellowship record and edited volume in JNU profile,Leading younger-generation Indian Korean-studies scholar,HIGH,NULL,2026-08-16,VERIFIED,S-0082
P-0060,Ravikesh,,,,,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,"Professor, Centre for Korean Studies, JNU",NULL,"JNU, New Delhi",Indian scholar of Korean studies at JNU,"Editor of 'Korean Studies in India & South Asia Vol-III' (Manak Publications, 2016); co-editor of '인도에서 한국어교육과 한국문화' (2018, with Kim Do-young)",DIRECT,UNCERTAIN,"NULL - profile sparse; likely Korea visits for co-editing work, not documented",BIDIRECTIONAL,ACADEMIC,Edited volumes with Korean co-editor,Contributed to institutionalizing Korean studies in India,MEDIUM,"JNU profile is sparse; identity and publications verified, travel details unknown.",2026-08-16,VERIFIED,S-0084
P-0061,Vyjayanti Raghavan,,,,,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,"Professor of Korean Language and Culture; Ex-Chairperson, Centre for Korean Studies, JNU; ICS faculty",NULL,"JNU, New Delhi (until 2022); Institute of Chinese Studies (ICS)",Indian scholar who built the Korean language program at JNU since 2000,"MA in Korean History, Seoul National University; PhD, JNU (Disarmament Studies); recognized by Korean PM Hwang Gyo-ahn (2015) for contributions to Hangeul development; co-author/editor of 'India and Korea Through the Ages: Historical, Religious and Cultural'; author of 'Colonisation: A Comparative Study of India and Korea'",DIRECT,YES,Studied at Seoul National University (MA Korean History); multiple Korea engagements (PM recognition 2015),BIDIRECTIONAL,ACADEMIC;LINGUISTIC;CULTURAL,PM-level recognition for Hangeul promotion in India; extensive publications list,The founding figure of Korean-language education at JNU (2000-2022) and most prominent Indian woman in Korean studies,HIGH,NULL,2026-08-16,VERIFIED,S-0163;S-0078
P-0062,Buddhavara (Ven.),붓다빠라 스님; Phra Buddhavara,붓다빠라,,,,UNKNOWN,,UNKNOWN,KOREAN (South Korea; resident in India),CONTEMPORARY,"Buddhist monk; abbot of Bunhwangsa Temple India (분황사, Bodh Gaya); Chancellor of Bodh Gaya International College of Buddhist Studies; principal of Bodh Gaya International Meditation School; abbot at Sati Aramma (Kimhae)",Buddhism (Korean Jogye Order; Theravada-oriented early-Buddhist meditation),Bunhwangsa India; Bodh Gaya International College of Buddhist Studies,"Resident in Bodh Gaya leading Korean-led meditation training; signed academic-exchange MOU with University of Delhi (2026-04-23); honored in Korea as '인도 분황사 주지' (Beopbo, 2026-07-08)",Foundational figure of Korean Buddhist institutions at Bodh Gaya; lecture circuits in Korea,DIRECT,YES,Lives between Korea and India (Kimhae Sati Aramma <-> Bodh Gaya); long-term presence at Bodh Gaya,KOREA_TO_INDIA,RELIGIOUS;ACADEMIC;CULTURAL,Delhi University MOU; multiple Korean Buddhist-press reports,Builder of the Korean Buddhist institutional bridgehead at Bodh Gaya,MEDIUM,His own personal university study in India is NOT documented in cited sources; category is satisfied via long-term Indian residence and institutional leadership.,2026-08-16,VERIFIED,S-0018
P-0063,Hyoseok (Ven.),효석 스님,효석,,,1970,DECADE,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Bhikkhuni (nun); professor at Bongnyeongsa monastic college; attendant to preceptor Ven. Bongak,Buddhism (Jogye Order bhikkhuni),Bongnyeongsa; Seoul Beopryongsa bhikkhuni hall,"Studied cultural anthropology in India - MA from Pune University (뿌나대학), PhD from Delhi University (델리대학); studied yoga in India (certificate)","Returned to Korea, teaches at Bongnyeongsa monastic college",DIRECT,YES,Full graduate study in India (Pune MA -> Delhi PhD) before ordination; returned with yoga credentials,INDIA_TO_KOREA,ACADEMIC;RELIGIOUS;CULTURAL,Published profile essay documenting both degrees and India residence,One of the few documented Korean nuns with Indian university doctorates,HIGH,Article is a profile essay (Hyunbul News '모정불심' series) - single-source but detailed and first-person.,2026-08-16,VERIFIED,S-0063
P-0064,Wookwan (Ven.),Wookwan Sunim; 우관스님,우관,,,,UNKNOWN,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Bhikkhuni; founder/director of Mahayeon Temple Food Culture Center (Icheon); 2022 Jogye Order Temple-Food Master; inaugural director of Bongwonsa Temple-Food Culture Research Institute,Buddhism (Jogye Order bhikkhuni; trained at Bongnyeongsa),Mahayeon Temple Food Culture Center; Bongwonsa,"Studied at University of Delhi - MA in Buddhist Studies and PhD coursework (박사 수료), 5+ years in India; gave monthly Korean-language dharma talks for the Korean community in Delhi; volunteered at Sujata School, Bodh Gaya","Korea's leading temple-food authority; international ambassador of Korean temple cuisine (New York/London Korean Cultural Centers, 2017-2019); author of 'Wookwan's Korean Temple Food' (2019, IBPA Benjamin Franklin Award silver)",DIRECT,YES,Entered Delhi University to remain in India legally; 5+ years of study + dharma teaching + Bodh Gaya volunteering; returned via Myanmar/Thailand pilgrimage,BIDIRECTIONAL,ACADEMIC;RELIGIOUS;CULTURAL;LINGUISTIC,Jogye master designation 2022; Benjamin Franklin Award; Delhi University record,The only bhikkhuni temple-food master in the Jogye Order; India-trained international communicator,HIGH,Two sources diverge slightly on PhD completion (2010: '석·박사 모두 마침' vs 2022: '박사 수료') - newer source used as primary; discrepancy noted.,2026-08-16,VERIFIED,S-0076;S-0026
P-0065,Gakseong (Ven.),각성 스님; Gakseong Sunim,각성,,,1971,DECADE,2020,DAY,KOREAN (South Korea),CONTEMPORARY,"Buddhist monk; abbot of Guryongsa (Seoul, 2010-2020); 17th Jogye Central Assembly member (2018-2020)",Buddhism (Jogye Order),Guryongsa; Tongdosa lineage,"Went to India in 1992 to study - University of Delhi, religious studies, 6 years; alone toured ~4,500 km of Buddhist pilgrimage sites in India",Returned to Tongdosa monastic college; abbot of Guryongsa; social welfare leadership,DIRECT,YES,"1992-1998 Delhi University study (6 years) plus 4,500 km solo pilgrimage across India's Buddhist sites",INDIA_TO_KOREA,ACADEMIC;RELIGIOUS,BTN obituary/report; BBS obituary report,Documented modern example of a Jogye monk with long India university study,HIGH,Deceased 28 Sep 2020; two independent Buddhist-press obituaries corroborate.,2026-08-16,VERIFIED,S-0019;S-0009
P-0066,Divik Ramesh,,,,,,UNKNOWN,,UNKNOWN,INDIAN (Hindi-speaking),CONTEMPORARY,Hindi poet and translator,NULL,Sahitya Akademi (project participant); Kaavyaalaya (poetry community),Indian poet-translator of Korean poetry into Hindi,"(1) 'The day breaks O! India' - Korean poetess Choyi Kim Yang-Shik, original Korean + Hindi translation by Divik Ramesh, English by Jin Sup Kim (HathiTrust record); (2) Sahitya Akademi's 'Korean Poetry - Journey' (कोरियाई कविता-यात्रा); (3) 'Korea Bal Kavitha' (Korean children's poetry, 2017)",MEDIATED,UNCERTAIN,NULL - translation-based mediation; travel not documented,KOREA_TO_INDIA,LITERARY;LINGUISTIC,Library catalogs and publisher listings of his Korean poetry translations,Key figure bringing Korean poetry to Hindi readers via Sahitya Akademi,HIGH,NULL,2026-08-16,VERIFIED,S-0060;S-0088
P-0067,Dileep Jhaveri,,,,,,UNKNOWN,,UNKNOWN,INDIAN (Gujarat),CONTEMPORARY,Indian (Gujarati) poet and translator,NULL,NULL,Indian poet active in international poetry exchange,Attended an international writers/poets gathering in Korea (1986); his poetry has been translated into Korean,DIRECT,YES,Traveled to Korea for poetry events (1986 documented); poetry circulated in Korean translation,BIDIRECTIONAL,LITERARY;CULTURAL,ATUNIS profile documenting Korea conference participation and Korean translations of his work,Part of the 1980s India-Korea poets' exchange circuit,MEDIUM,His own translating of Korean works is NOT documented - hence 'other mediators' category; single-source profile.,2026-08-16,VERIFIED,S-0007
P-0068,Sŏ Chŏng-ju,Seo Jeong-ju; pen name Midang (未堂),서정주,徐廷柱,,1915,DAY,2000,DAY,KOREAN (colonial Korea -> South Korea),CONTEMPORARY,Poet; educator (Dongguk/Kyonggi university professor),Buddhism (studied at Gaewunsa; Dongguk Buddhist college),Dongguk University (professor),Met Indian poet Sitanshu Yashaschandra at Dongguk University (visit date unstated; article reposted 2010-08-11): the two discussed the mainstream and current state of Indian poetry and Korean-Indian literary exchange; Yashaschandra praised Sŏ's poem Hwasa (화사) for its compassion (자비심); they proposed mutual poetry translation and a '자비회' (Compassion Society) literary body,"One of Korea's most influential 20th-century poets (Hwasajip, Guksoto, Jilmajae Sinhwa); professor and Dean of the College of Liberal Arts (문리대학장) at Dongguk University; president of the Korean Writers Association (한국문인협회)",DIRECT,NO,India -> Korea: Yashaschandra visited Dongguk University and met Sŏ Chŏng-ju (year unstated),INDIA_TO_KOREA,INTELLECTUAL,"Dongguk University newspaper (동대신문) interview article '[휴게실] 徐廷柱敎授, 印度詩人 야산챤드라 와' (reposted 2010-08-11)",Major Korean poet; documented literary encounter with an Indian poet at a Buddhist university; contested historical legacy (pro-Japanese activity),MEDIUM,"REVIEW closed 2026-08-17: India link now documented (Dongguk newspaper interview with Sitanshu Yashaschandra). Original article date not stated - Sŏ served as 문리대학장 in the 1970s, so the visit is placed in B5 with year unknown; literary exchange (not Buddhist-institutional); classified SECONDARY/ADAPT.",2026-08-17,VERIFIED,S-0177;S-0032
P-0069,Hwang Tong-gyu,Hwang Dong-gyu; 黃東奎,황동규,黃東奎,,1938,DAY,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Poet; English-literature scholar; Professor Emeritus (Seoul National University),Protestant (Presbyterian),Seoul National University (emeritus),"NONE FOUND - education documented only in Korea, US (Iowa), UK (Edinburgh)",Major contemporary Korean poet; son of novelist Hwang Sun-won; Hoam Prize (2016),UNCERTAIN,UNCERTAIN,NULL,UNCERTAIN,NULL,NULL,Leading Korean poet and English literature scholar,LOW,Named as a candidate; no India link documented in searched sources (his international academic stays were US/UK).,2026-08-17,UNRESOLVED,S-0165
P-0070,Kim Chi-ha,Kim Ji-ha; 金芝河; birth name Kim Yeong-il,김지하,金芝河,,1941,DAY,2022,DAY,KOREAN (South Korea),CONTEMPORARY,Poet; thinker (originator of the 'Life Philosophy' 생명사상); professor (Dongguk/Wonkwang),"Catholic (baptismal name Francisco); later synthesized Buddhism, Confucianism, Donghak",Dongguk University; Wonkwang University,"NONE VERIFIED - the popular association of his 'life thought' with Gandhi/ahimsa appears in discourse but NO source could be located; his documented thought synthesizes Christianity, Buddhism (Maitreya, Avatamsaka), Confucianism, and Donghak","Iconic participatory poet of the 1970s democratic movement (오적), later life-philosophy thinker",UNCERTAIN,UNCERTAIN,NULL,UNCERTAIN,NULL,"Hani 2026-07-03 (임진택 interview on '김지하를 다시 본다'): thought rooted in Donghak (시천주/향아설위), 증산도 개벽사상, Buddhism, Christianity",Major Korean poet; systematized Korean 'life philosophy' merging Eastern traditions,LOW,REVIEW closed 2026-08-17 as documented negative: the authoritative Hani interview documents the life philosophy as Donghak-rooted with no Gandhi/India influence; popular Gandhi/ahimsa association remains unverified; classified NONE/EXCLUDE.,2026-08-17,UNRESOLVED,S-0168;S-0126;S-0057
P-0071,Vinoba Bhave,Acharya Vinoba Bhave; विनोबा भावे,,,विनोबा भावे,1895,YEAR,1982,YEAR,INDIAN,CONTEMPORARY,Gandhian philosopher; leader of the Bhoodan (land-gift) movement; spiritual successor of Gandhi,Hindu (Gandhian),Bhoodan movement; Sarvodaya,Major Gandhian leader; his ashram was visited by Korean monk Pŏpchŏng in 1971,Met Korean Buddhist monk Pŏpchŏng (1971) at his ashram in India; the encounter transmitted Gandhian renunciation philosophy to Korea via Pŏpchŏng's essays,DIRECT,NO,Never visited Korea; the encounter happened in India,INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,Bulkwang article (2024) on Pŏpchŏng's India trip and the Vinoba Bhave meeting,The Indian intermediary through whom Gandhian simplicity reached mainstream Korean Buddhist thought,MEDIUM,Included because he is the documented Indian counterpart in Pŏpchŏng's 1971 India encounter.,2026-08-17,VERIFIED,S-0025
P-0072,Yi Yŏng-jae,"Lee Young-jae; Yi Yeong-jae; dharma names Paekkwang (白光), Pŏmnan (梵鸞), Chongwŏn (宗圓)",이영재,李英宰,,1900,YEAR,1927,DAY,KOREAN (colonial Korea),MODERN,Monk (유학승); Buddhist reformer; first modern-era Korean monk to attempt an India pilgrimage,Buddhism (ordained 1918 at Beopjusa; studied under Nampa and Paek Ch'owŏl sunims),Beopjusa; Nihon University; Tokyo Imperial University,First modern-era Korean Buddhist pilgrimage attempt (1925): studied Sanskrit/Pali (Indian Philosophy) at Tokyo Imperial University; departed Yokohama 1925-11-09 for Ceylon (Sri Lanka) intending 2 years of study then an India pilgrimage; died in Ceylon 1927-10-12 before reaching India proper,"Colonial-era Buddhist reformer: '조선불교혁신론' (27 installments, Chosun Ilbo 1922); led the 조선불교동경유학생회 journal 금강저 (1924); travelogues 도석기/남국기/석란의 불교",DIRECT,YES,Korea -> Japan (study 1918-1925) -> Ceylon (Sri Lanka) Dec 1925; intended India pilgrimage; died in Ceylon 1927-10-12,KOREA_TO_INDIA,RELIGIOUS;INTELLECTUAL,Ibulgyo 2021-02-03 biography (한국불교 격동 100년 series); Dong-A Ilbo 1927-10-27 obituary; KCI ART003193373; Beopbo series entry,Pioneer of modern Korea-India Buddhist engagement: first Korean monk in centuries to set out for India; his vow and writings mark the start of the modern pilgrimage era,HIGH,Never reached India proper - died in Ceylon aged 28; Dong-A Ilbo (1927-10-27) called him the first Korean monk in several hundred years to go to India; drew taegeukgi/taegeuk lanterns for Mahabodhi Society Vesak in Kandy; re-examined by German scholar Zimmermann (2026); B4-band (1900-1945) record,2026-08-17,VERIFIED,S-0075;S-0013;S-0101;S-0077;S-0072
P-0073,Hwang Su-yŏng,Hwang Su-yeong; 黃壽永,황수영,黃壽永,,,,,,KOREAN,CONTEMPORARY,Art historian; professor at Dongguk University; pioneer of modern Korean field surveys of Indian Buddhist heritage,Buddhist scholar (lay),Dongguk University,"Surveyed India's Buddhist sites and ancient culture 1962-01-21 -> 1963-05-09 (~5 months): Ganges basin (Buddha's sites), Central, South and West India, and Pakistan (Peshawar area - trod the Ganuo-si temple site recorded in Hyecho's Wang ocheonchukguk jeon); itinerary arranged by the Indian government matched Hyecho's route; visited Nalanda; urged that Korea send students to India, regretting that Korean students were absent from the international students gathered at the Buddhist research institute near Nalanda",Returned to Korea 1963-05-09 (Kyonghyang interview); compared Indian Buddhist remains with Korea's ancient culture (Korean stone pagodas); Indian officials requested a translation of Hyecho's travel record; his fieldwork was covered serially in Kyonghyang Shinmun,DIRECT,YES,Seoul -> India (Ganges basin; Central/South/West India; Pakistan-Peshawar); returned Seoul 1963-05-09,KOREA_TO_INDIA,INTELLECTUAL,"Kyonghyang Shinmun 1963-05-11 (帰国 interview, p.5); corroborated by Hyunbul News 2023-02-27 (Dongguk-Nalanda MOU feature)",First documented modern Korean academic field survey of India's Buddhist heritage following Hyecho's route; precursor of Korea-India Buddhist-studies exchange,HIGH,Lay scholar (not a monk); the 1962-63 journey predates ROK-India diplomatic relations (1973) and the documented Korean-student era in India; the institute near Nalanda where he noted absent Koreans is the precursor of Nav Nalanda Mahavihara; B5-band (post-war) record,2026-08-17,VERIFIED,S-0121;S-0062
P-0074,Muhak Chach'o,Muhak Taesa; Muhak Daesa,무학 자초,無學 自超,,1327,,1405,,KOREAN,MEDIEVAL,Seon master; royal preceptor (왕사) of King T'aejo (Yi Sŏng-gye); abbot of Hoeamsa; third of the Jikong-Naong-Muhak line (삼대화상),Seon Buddhist monk,Hoeamsa,"No documented travel to India. India connection is indirect, through his teacher Jikong (Dhyānabhadra): per tradition he received Jikong's teaching (in Yuan China) before returning to Goryeo; he later co-led Hoeamsa, the temple Jikong founded (reportedly modeled on Nalanda), where Jikong's relics were enshrined (1370)",With King T'aejo developed Hoeamsa as the leading early-Joseon temple; the Jikong-Naong-Muhak lineage formed the foundation of early Joseon Seon Buddhism; his stupa and stele were erected at Hoeamsa by order of King T'aejong,INDIRECT,NO,"Goryeo -> Yuan China (per tradition, received Jikong's teaching) -> returned to Goryeo; no India travel documented",INDIA_TO_KOREA,RELIGIOUS,Hyunbul News 2017-01-26 (Jikong's disciples incl. Muhak); Atlas News 2025-12-31 Silleuksa feature (삼대화상 선맥); Dongguk Buddhist Culture Portal (1370 relic stupa),"Key carrier of the Indian master Jikong's lineage into Joseon Buddhism; with T'aejo he sustained the Nalanda-modeled Hoeamsa, the most prominent material legacy of Korea-India Buddhist contact in the late medieval era",MEDIUM,India link entirely via Jikong tradition (Jahyeon 2017 monograph); no primary evidence of Muhak himself traveling to India; B2-band record; classified MEDIATOR/ADAPT,2026-08-17,VERIFIED,S-0064;S-0006;S-0020
P-0075,Baegun Gyeonghan,Baegun,백운 경한,白雲 景閑,,1298,,1374,,KOREAN,MEDIEVAL,Seon master; author of Jikjisimcheyojeol (1377) - the world's oldest extant book printed with movable metal type,Seon Buddhist monk,Chwiamsa (Cheongju),No documented travel to India. India connection is indirect: per tradition he received inka (인가) from the Indian master Jikong (Dhyānabhadra) in Yuan China; his lineage transmission otherwise ran through Chinese masters (e.g. Shiwu Qinggong),"Compiled the Jikjisimcheyojeol at Chwiamsa, Cheongju; a landmark of Korean Seon literature",INDIRECT,NO,"Goryeo -> Yuan China (per tradition, received Jikong's inka) -> returned to Goryeo; no India travel documented",INDIA_TO_KOREA,RELIGIOUS;INTELLECTUAL,Hyunbul News 2017-01-26 (Jikong's disciples incl. Baegun); Atlas News 2025-12-31 Silleuksa feature,Demonstrates the reach of the Indian master Jikong's teaching among the most eminent Goryeo Seon masters of the Mongol period,MEDIUM,India link entirely via Jikong tradition (Jahyeon 2017 monograph); Jikji fame is not itself India-connected; B2-band record; classified SECONDARY/ADAPT,2026-08-17,VERIFIED,S-0064;S-0006
P-0076,Sitanshu Yashaschandra,Sitāṃśu Yaśaścandra; 시탄 슈 야사찬드라,시탄슈 야사찬드라,,સીતાંશુ યશશ્ચંદ્ર,1941,YEAR,,UNKNOWN,INDIAN,CONTEMPORARY,Gujarati poet; scholar of Gujarati literature,Hindu,Saurashtra University (professor),"Gujarati poet described in the Dongguk newspaper as 'the youngest genius poet of India after Tagore'; visited Dongguk University (Seoul) and met Sŏ Chŏng-ju, discussing the mainstream and current state of Indian poetry; praised Sŏ's poem Hwasa (화사) for its compassion (자비심); proposed mutual Korean-Indian poetry translation and a '자비회' (Compassion Society) literary body, to be discussed with the Indian ambassador to Korea",Documented Indian counterpart in Sŏ Chŏng-ju's literary encounter at Dongguk University,DIRECT,NO,India -> Korea: Dongguk University visit and meeting with Sŏ Chŏng-ju (year unstated),INDIA_TO_KOREA,INTELLECTUAL,"Dongguk University newspaper (동대신문) interview article '[휴게실] 徐廷柱敎授, 印度詩人 야산챤드라 와' (reposted 2010-08-11)",Documented Indian literary counterpart of Korea's foremost modern poet at a Buddhist university,MEDIUM,"Visit year not stated in the article (Sŏ was 문리대학장, likely 1970s); literary exchange, not Buddhist-institutional; B5-band record; classified SECONDARY/ADAPT",2026-08-17,VERIFIED,S-0032
P-0077,Ch'ukwŏn Chijŏn,Ch'ukwŏn Chich'ŏn; Chukwon Jicheon; 竺源 智泉; National Preceptor Chŏngji (정지국사),축원 지천,竺源 智泉,,1324,,1395,,KOREAN,MEDIEVAL,Goryeo Seon monk; disciple of the Indian master Jikong (Dhyānabhadra); titled National Preceptor Chŏngji (정지국사),Seon Buddhist monk,,"No documented travel to India. India connection is indirect: per tradition he was one of Jikong's representative disciples (with Naong, Baegun Gyeonghan and Muhak Chach'o), receiving the Indian master's teaching in Yuan China",Listed among Jikong's representative disciples in modern scholarship and temple tradition; the Jikong-Naong-Muhak lineage formed the foundation of early Joseon Seon Buddhism,INDIRECT,NO,"Goryeo -> Yuan China (per tradition, disciple of Jikong) -> returned to Goryeo; no India travel documented",INDIA_TO_KOREA,RELIGIOUS,"Hyunbul News 2017-01-26 (Jikong's disciples incl. Ch'ukwŏn); Atlas News 2025-12-31 Silleuksa feature (정지국사 축원지천, 1324-1395)",Completes the documented circle of the Indian master Jikong's Korean disciples in the late Goryeo period,MEDIUM,India link entirely via Jikong tradition (Jahyeon 2017 monograph); details of his career beyond the title 정지국사 not documented in the sources consulted; B2-band record; classified SECONDARY/ADAPT,2026-08-17,VERIFIED,S-0064;S-0006
